Handle,Command,Title,Author,Body HTML,Summary HTML,Tags,Tags Command,Published,Published At,Image Src,Image Alt Text,Blog: Handle,Metafield: sga.thumbnail [file_reference],Metafield: sga.total_time_minutes [number_integer],Metafield: sga.servings [number_integer],Metafield: sga.dietary [list.single_line_text_field],Metafield: sga.main_product [product_reference],Metafield: sga.related_products [list.product_reference],Metafield: sga.related_articles [list.article_reference],Metafield: sga.you_might_also_like [list.article_reference],Metafield: sga.you_might_also_like_heading [single_line_text_field],Metafield: sga.related_products_heading [single_line_text_field],Metafield: sga.ingredients [list.single_line_text_field],Metafield: sga.ingredient_products [list.product_reference],Metafield: sga.eyebrow [single_line_text_field],Metafield: sga.serving_tip [single_line_text_field],Metafield: sga.difficulty [single_line_text_field],Metafield: sga.instructions [list.single_line_text_field]
cokoladove-grissini,MERGE,Čokoládové grissini,Sonnentor,,...obzvlášť dobré s naší směsí Všechno nejmilejší!,"S sebou, Svačina, Děti, Pečivo, S láskou, Koření - květy",REPLACE,TRUE,,https://www.sonnentor.com/at/recipes/36859/image-thumb__36859__thumb-slider/schokolade-grissini.b7fa843c.jpg,Čokoládové grissini,recipes,cokoladove-grissini-thumb.jpg,75,4,"vegetariánské, bez laktózy",,,,"polevka-z-korenove-zeleniny, bouillabaisse-s-bagetkou, pulmesicky-vsechno-nejmilejsi, kouzelna-cokoladova-pena, pikantni-gulas-okoreneny-stestim, kvaskovy-chleb, knedliky","Recepty, které by vám také mohly chutnat",Další naše produkty k receptu,"[""150|g|pšeničné mouky"",""30|g|pšeničné celozrnné mouky"",""20|g|droždí"",""1|lžíce|kakaa"",""120|ml|vlažné vody"",""2|lžíce|řepkového oleje"",""1|lžička|medu"",""||černá a bílá čokoládová poleva"",""||trocha černého a bílého sezamu"",""||nastrouhaná čokoláda""]","ayurvedska-kouzelna-sul-jemna-konv-150g, kardamom-bio-mlety-50g, vsechno-nejmilejsi-smes-kvetu-a-koreni-bio-40g",Recept,,,"[""Smíchejte oba druhy mouky a kakao. Uprostřed udělejte důlek a rozdrobte do něj droždí. Přidejte med a smíchejte s trochou vlažné vody. Nechte přikryté 15 minut odstát. Nakonec přidejte kardamom."",""Do mísy přidejte zbývající ingredience a vše dohromady prohněťte. Pokud je těsto příliš lepkavé, přidejte mouku. Nechte kynout asi 30 minut."",""Předehřejte troubu na 180 °C."",""Těsto vyválejte na 1 cm silný obdélník a rozkrojte ho napříč. Dva kusy těsta rozkrojte na přibližně 1–1,5 cm široké proužky (např. pomocí kolečka na pizzu). Proužky těsta srolujte mezi prsty (měly by se alespoň zdvojnásobit) a položte je na plech. Pečte 15 minut."",""Pro extra křupavost nechte asi 30 minut po upečení schnout při 50 °C s mírně pootevřenými dvířky trouby."",""Po vychladnutí ponořte do rozpuštěné čokoládové polevy a posypte směsí koření Všechno nejmilejší, bílými nebo černými sezamovými semínky, nastrouhanou čokoládou, kokosovými vločkami nebo posypem dle chuti.""]"
jablecne-cupcaky,MERGE,Jablečné cupcaky,Sonnentor,,Skoro uslyšíte praskání ohně v krbu.,"na pečení, Cukroví, Vánoce, Zima, Dezerty & sladké",REPLACE,TRUE,,https://www.sonnentor.com/global/recipes/98132/image-thumb__98132__thumb-slider/Bratapfelcupcakes%20%2811%29.370cf85c.jpg,Jablečné cupcaky,recipes,jablecne-cupcaky-thumb.jpg,90,1,vegetariánské,,,,"peceny-kapri-filet-v-makovem-obalu, chai-orechovy-muffin, chai-mlecna-ryze, pulmesicky-vsechno-nejmilejsi, kavovy-lanyz, kouzelna-cokoladova-pena, selska-bramborova-pizza","Recepty, které by vám také mohly chutnat",Další naše produkty k receptu,"[""70|g|měkkého másla"",""150|g|moučkového cukru"",""2||vejce"",""200|g|mouky"",""1|lžička|půl balíčku kypřicího prášku"",""100|g|mletých vlašských ořechů"",""150|ml|mléka"",""200|ml|jablečné šťávy"",""||půl balení pudinku"",""3|lžíce|třtinového cukru"",""1||jablko"",""||sklenička marmelády"",""1|balení|šlehačky""]","ayurvedska-kouzelna-sul-jemna-konv-150g, vanilkovy-cukr-bio-50g, skorice-cassia-bio-mleta-40g, vanocni-cukrovani-bio-70-g-dozicka",Recept,,,"[""Máslo, moučkový cukr, sůl a vanilkový cukr ušlehejte do nadýchané hmoty. Vejce prošlehejte a vmíchejte do směsi. Prosejte mouku, prášek do pečiva a skořici a vmíchejte mleté ​​vlašské ořechy."",""Nakonec vmíchejte mléko. Nalijte do vymazané formy na muffiny (po okrajích nechte asi 1 cm volného místa). Pečte v předehřáté troubě na 180 °C asi 25 minut."",""Mezitím si připravte náplň: Jablka oloupejte, odstraňte jádřince a nakrájejte na malé kostičky. Jablečnou šťávu smíchejte s pudinkovým práškem a cukrem a za stálého míchání přiveďte k varu, dokud jablečná šťáva nezhoustne."",""Přidejte nakrájená jablka a nechte chvíli odstát. Vyjměte cupcaky z formy na muffiny a nechte je vychladnout. Nožem do cupcakeu vyřízněte 1 cm hluboký otvor a v případě potřeby lžící střed trochu vydlabejte."",""Naplňte koláčky 1–2 lžícemi marmelády a navrch potřete vychladlým jablečným krémem. Ušlehejte šlhačku do tuha, naneste ji na cupcaky a posypte Vánočním cukrováním.""]"
polevka-z-korenove-zeleniny,MERGE,Polévka z kořenové zeleniny,Sonnentor,,Připravte si na zimu pořádně tuhý kořínek!,"Recepty z Waldviertelu, Rychlá kuchyně, zelenina, Koření - květy, Polévky, Zimní zelenina",REPLACE,TRUE,,https://www.sonnentor.com/cz/recipes/88004/image-thumb__88004__thumb-slider/Recepty%20%282%29.35521c6b.jpg,Polévka z kořenové zeleniny,recipes,polevka-z-korenove-zeleniny-thumb.jpg,25,4,"vegetariánské, veganské, bez laktózy",,,,"cokoladove-grissini, bouillabaisse-s-bagetkou, paprikova-polevka-s-polentou, rybi-spiz-s-citronovou-travou-na-listovem-spenatu, filety-ze-sivena-se-zeleninou-a-ruzovymi-poupaty, chai-mlecna-ryze, pulmesicky-vsechno-nejmilejsi","Recepty, které by vám také mohly chutnat",Další naše produkty k receptu,"[""2||jarní cibulky"",""1||pastinák"",""2||petržele (kořen)"",""2||mrkve"",""1||žlutá mrkev"",""2|lžíce|olivového oleje""]","zeleninova-polevka-sv-hildegardy-bio-ve-sklenicce, ayurvedska-kouzelna-sul-jemna-konv-150g, andel-strazny-smes-kvetu-a-koreni-bio-40g, pepr-cerny-bio-cely-55g",Recept,,,"[""Jarní cibulku nakrájejte na kolečka a osmahněte na olivovém oleji dosklovata. Zeleninu oloupejte, nakrájejte na kousky a poduste spolu s cibulí."",""Přilijte zeleninový vývar, dochuťte solí a pepřem a vařte přibližně 10 minut."",""Vše rozmixujte tyčovým mixérem a vmíchejte směs květů a koření Anděl strážný."",""TIP na přílohu – andělské tyčinky: Pláty listového těsta nakrájejte na 2 cm široké proužky, podélně je stočte do spirály, položte na plech s pečicím papírem, potřete olivovým olejem a posypte směsí květů a koření Anděl strážný. Pečte 10 minut při 180 °C.""]"
bouillabaisse-s-bagetkou,MERGE,Bouillabaisse s bagetkou,Sonnentor,,Zní to exoticky? To taky je! Tato bohatá rybí polévka je dokonalým zdrojem tepla a energie pro chladné období!,"Světová kuchyně, Polévky, Koření - květy, Maso & ryby",REPLACE,TRUE,,https://www.sonnentor.com/at/recipes/36901/image-thumb__36901__thumb-slider/bouillabaisse-mit-baguette.044e24ce.jpg,Bouillabaisse s bagetkou,recipes,bouillabaisse-s-bagetkou-thumb.jpg,45,4,bez laktózy,,,,"cokoladove-grissini, polevka-z-korenove-zeleniny, paprikova-polevka-s-polentou, lososovy-pstruh-peceny-v-troube, peceny-kapri-filet-v-makovem-obalu, rybi-spiz-s-citronovou-travou-na-listovem-spenatu, filety-ze-sivena-se-zeleninou-a-ruzovymi-poupaty","Recepty, které by vám také mohly chutnat",Další naše produkty k receptu,"[""2|lžíce|medu"",""40|g|droždí"",""200|ml|vlažné vody"",""400|g|pšeničné mouky"",""2|lžíce|olivového oleje"",""1||vejce"",""||zeleninový vývar"",""1||mrkev"",""2|ks|řapíkatého celeru"",""100|g|filetu z candáta"",""100|g|filetu z pstruha"",""100|g|filetu z sumce"",""140|g|čerstvých rajčat""]","chlebove-koreni-bio-hrube-mlete-45g, koreni-na-ryby-rybare-svena-bio-35g",Recept,Bujabézu lze zjemnit 1 lžící koření Sluneční polibek.,,"[""V míse smíchejte med a droždí s 200 ml vlažné vody. Přidejte mouku, Chlebové koření a olivový olej a dobře prohněťte. Nechte těsto 10 minut odpočinout a poté znovu prohněťte. Rozdělte těsto na 300gramové kousky a z každého kousku vyválejte 4 cm silnou bagetu. Bagety položte na plech, potřete rozšlehaným vejcem a pečte při 170 °C přibližně 15 minut."",""Vmíchejte zeleninový vývar do 1,5 litru vody a přiveďte k varu. Mrkev oloupejte, nakrájejte na tenké proužky a nechte louhovat ve vývaru. Celer jemně nakrájejte a přidejte do vývaru. Rybí filety nakrájejte na 3–4 cm kousky, potřete je Kořením na ryby rybáře Svena a přidejte do vývaru. Nechte 5 minut mírně povařit."",""Rajčata nařízněte křížkem na konci stopky, krátce je ponořte do vroucí vody, vyjměte je a vložte do studené vody. Poté je oloupejte, rozpůlte, odstraňte semínka a nakrájejte je na kostičky o velikosti 1 cm. Přidejte do polévky a nechte 2 minuty louhovat. Podávejte bujabézu s bagetou.""]"
paprikova-polevka-s-polentou,MERGE,Papriková polévka s polentou,Sonnentor,,Pikantní polévka s Lajošovo gulášovým kořením.,"Partnerské recepty, Polévky, Adventní koření",REPLACE,TRUE,,https://www.sonnentor.com/at/recipes/36909/image-thumb__36909__thumb-slider/polenta-paprika-suppe.f6936662.jpg,Papriková polévka s polentou,recipes,paprikova-polevka-s-polentou-thumb.jpg,50,2,,,,,"polevka-z-korenove-zeleniny, bouillabaisse-s-bagetkou, kavovy-lanyz, silna-polevka-z-cervene-repy, polevka-z-cervene-repy2, dynovy-krem-s-fenyklem-a-krutony, houbova-polevka-z-waldviertelu","Recepty, které by vám také mohly chutnat",Další naše produkty k receptu,"[""200|g|hovězího masa"",""4|lžíce|olivového oleje"",""1||cibule"",""2||červené papriky"",""||špetka Pouštní sůl z Kalahari"",""40|g|polenty"",""600|ml|zeleninového vývaru"",""150|ml|smetany"",""2|lžíce|zakysané smetany""]","lajosovo-gulasove-koreni-bio-50g, frankyho-koreni-na-barbecue-bio-35g",Recept,,,"[""Hovězí rumpsteak nakrájejte na proužky. Smíchejte 2 lžíce oleje s Lajošovo gulášovým kořením a naložte do něj kousky masa. Nechte marinovat přibližně 20 minut na chladném místě."",""Oloupejte cibuli a nakrájejte ji na větší proužky. Papriku očistěte, omyjte a nakrájejte na kolečka. Na pánvi rozehřejte lžíci oleje a restujte papriku s cibulí přibližně 3 minuty. Dochuťte solí a Frankyho kořením na barbecue. Část cibule a papriky si schovejte na ozdobu."",""Přidejte polentu, krátce ji osmahněte a zalijte zeleninovým vývarem. Vše přiveďte k varu a za častého míchání vařte na mírném ohni asi 10 minut. Pokud je polévka příliš hustá, můžete přidat více zeleninového vývaru. Ke konci vaření přidejte smetanu a vše rozmixujte tyčovým mixérem."",""Proužky hovězího rumpsteaku prudce orestujte z obou stran na lžíci oleje. Polévku podávejte s proužky masa, paprikovou cibulkou a lžící zakysané smetany.""]"
lososovy-pstruh-peceny-v-troube,MERGE,Lososový pstruh pečený v troubě,Sonnentor,,"... s výbornou nádivkou z bylinek, česneku a koření.","Na pánev, Léto, Maso & ryby",REPLACE,TRUE,,https://www.sonnentor.com/at/recipes/36915/image-thumb__36915__thumb-slider/lachs-aus-dem-ofen.23ae3e16.jpg,Lososový pstruh pečený v troubě,recipes,lososovy-pstruh-peceny-v-troube-thumb.jpg,120,2,bez laktózy,,,,"bouillabaisse-s-bagetkou, peceny-kapri-filet-v-makovem-obalu, rybi-spiz-s-citronovou-travou-na-listovem-spenatu, filety-ze-sivena-se-zeleninou-a-ruzovymi-poupaty, rolada-z-krkovicky-s-dynovym-pyre, kouzelna-cokoladova-pena, orientalni-ledovy-caj","Recepty, které by vám také mohly chutnat",Další naše produkty k receptu,"[""2||pstruzi (lososovití)"",""4|stroužky|česneku"",""2||svazky čerstvých bylinek"",""2||kůry z citronu"",""8||cherry rajčátek"",""||olivového oleje""]","koreni-na-ryby-rybare-svena-bio-35g, ayurvedska-kouzelna-sul-jemna-konv-150g",Recept,Pstruzi skvěle ladí s dipem ze zakysané smetany.,,"[""Česnek oloupejte a nakrájejte nadrobno. Ryby (vykuchané) omyjte a osušte."",""Naplňte ryby omytými a nasekanými bylinkami, česnekem, trochou citronové šťávy a plátkem citronu, solí a pepřem. Vnitřní stranu dobře ochuťte Kořením na ryby rybáře Svena."",""Zapékací mísu vymažte olivovým olejem a vložte do ní plněné pstruhy. Potřete je trochou olivového oleje."",""Ozdobte měsíčky citronu a rajčátky a pečte přibližně 75 minut při 175 °C."",""Podávejte s čerstvým salátem nebo bramborami, pokapané citronem.""]"
peceny-kapri-filet-v-makovem-obalu,MERGE,Kapří filety v makovém obalu,Sonnentor,,Originální recept na rybí lahůdku.,"Podzim, Maso & ryby, Zima, Vánoce",REPLACE,TRUE,,https://www.sonnentor.com/at/recipes/36928/image-thumb__36928__thumb-slider/gebackenes-karpfenfilet-in-mohnpanier.722e860c.jpg,Kapří filety v makovém obalu,recipes,peceny-kapri-filet-v-makovem-obalu-thumb.jpg,30,2,bez laktózy,,,,"jablecne-cupcaky, bouillabaisse-s-bagetkou, lososovy-pstruh-peceny-v-troube, rybi-spiz-s-citronovou-travou-na-listovem-spenatu, filety-ze-sivena-se-zeleninou-a-ruzovymi-poupaty, rolada-z-krkovicky-s-dynovym-pyre, chai-mlecna-ryze","Recepty, které by vám také mohly chutnat",Další naše produkty k receptu,"[""400|g|filety z kapra"",""||šťáva z poloviny citronu"",""||trocha mouky"",""2||vejce"",""||trocha strouhanky"",""||mák"",""||tuk na smažení"",""||čerstvá petržel""]","koreni-na-ryby-rybare-svena-bio-35g, smokey-salt-konv-uzena-morska-sul-150g, pepr-zeleny-bio-20-g-cely",Recept,,,"[""Filety z kapra osolte, opepřete a ochuťte Kořením na ryby rybáře Svena a citronovou šťávou."",""Smíchejte polovinu strouhanky a polovinu mletého máku. Filety z kapra obalte v mouce, vejcích a směsi strouhanky a máku a poté je smažte na rozpáleném oleji."",""Po scezení posypte čerstvě nasekanou petrželkou.""]"
rybi-spiz-s-citronovou-travou-na-listovem-spenatu,MERGE,Rybí špíz s citronovou trávou na listovém špenátu,Sonnentor,,Vynikající rybí pokrm!,"Léto, Maso & ryby, Světová kuchyně, Rychlá kuchyně",REPLACE,TRUE,,https://www.sonnentor.com/at/recipes/36929/image-thumb__36929__thumb-slider/zitronengras-fisch-spiess-auf-blattspinat.04a329a7.jpg,Rybí špíz s citronovou trávou na listovém špenátu,recipes,rybi-spiz-s-citronovou-travou-na-listovem-spenatu-thumb.jpg,30,4,bez lepku,,,,"polevka-z-korenove-zeleniny, bouillabaisse-s-bagetkou, lososovy-pstruh-peceny-v-troube, peceny-kapri-filet-v-makovem-obalu, filety-ze-sivena-se-zeleninou-a-ruzovymi-poupaty, rolada-z-krkovicky-s-dynovym-pyre, chai-mlecna-ryze","Recepty, které by vám také mohly chutnat",Další naše produkty k receptu,"[""300|g|filet ze sumce"",""300|g|filet z candáta"",""4|ks|citronové trávy"",""3|lžíce|slunečnicového oleje"",""1||cibule"",""1|stroužek|česneku"",""30|g|másla"",""400|g|mraženého listového špenátu"",""200|ml|šlehačky""]","smokey-salt-konv-uzena-morska-sul-150g, koreni-na-ryby-rybare-svena-bio-35g, pepr-cerny-bio-mlety-50g, kurkuma-bio-40g, muskatovy-orisek-bio-mlety-30g, ayurvedska-kouzelna-sul-jemna-konv-150g, pepr-zeleny-bio-20-g-cely",Recept,,,"[""Sumce a candáta nakrájejte na kostky o velikosti 3–4 cm, jemně okořeňte bílým pepřem a solí. Těsně před pečením okořeňte Kořením na ryby rybáře Svena a mírně propečte na pánvi. Poté střídavě napichujte rybu a snítky citronové trávy. Špízy opět pomalu opečte na pánvi se slunečnicovým olejem."",""Cibuli a česnek nakrájejte na kostičky a orestujte na másle. Rozmrzlé listy špenátu vymačkejte a přidejte je k cibuli, okořeňte a nakonec poduste se šlehačkou.""]"
filety-ze-sivena-se-zeleninou-a-ruzovymi-poupaty,MERGE,Filety ze sivena se zeleninou a růžovými poupaty,Sonnentor,,Opravdová lahůdka!,"zelenina, Maso & ryby",REPLACE,TRUE,,https://www.sonnentor.com/at/recipes/36931/image-thumb__36931__thumb-slider/saiblingsfilet-mit-gemuese-und-rosenknospen.f9b194b3.jpg,Filety ze sivena se zeleninou a růžovými poupaty,recipes,filety-ze-sivena-se-zeleninou-a-ruzovymi-poupaty-thumb.jpg,60,4,"bez lepku, bez laktózy",,,,"polevka-z-korenove-zeleniny, bouillabaisse-s-bagetkou, lososovy-pstruh-peceny-v-troube, peceny-kapri-filet-v-makovem-obalu, rybi-spiz-s-citronovou-travou-na-listovem-spenatu, rolada-z-krkovicky-s-dynovym-pyre, grilovane-vege-dobrutky","Recepty, které by vám také mohly chutnat",Další naše produkty k receptu,"[""4||filety ze sivena amerického"",""3||mrkve"",""2||řapíkaté celery"",""60|g|másla"",""||alobal""]","koreni-na-ryby-rybare-svena-bio-35g, ruze-kvet-poupata-bio-syp-30g, energie-smes-kvetu-a-koreni-bio-30g, ayurvedska-kouzelna-sul-jemna-konv-150g",Recept,Podávejte s dušenými bramborami s rozpuštěným máslem a nasekanými bylinkami.,,"[""Mrkev nakrájejte na jemné proužky a celer na tenké plátky. Zeleninu osmahněte na másle, ochuťte špetkou soli, přidejte poupata růží a 5 minut poduste. Z alobalu vystřihněte čtyři díly o rozměrech 30 x 30 cm a rozložte na ně zeleninu."",""Okořeňte filety Kořením na ryby rybáře Svena, solí a špetkou směsi květů a koření Energie a položte je na zeleninu kůží nahoru. Důkladně je zabalte do alobalu, položte na plech a pečte v troubě při 180 °C po dobu 15 minut."",""Poté vyjměte z trouby, přendejte na talíře a ihned podávejte. Alobal by se měl rozbalit až těsně před konzumací, aby se zachovalo aroma.""]"
rolada-z-krkovicky-s-dynovym-pyre,MERGE,Roláda z krkovičky s dýňovým pyré,Sonnentor,,Výtečný masový pokrm s netradiční přílohou.,"Maso & ryby, Podzim, Světová kuchyně",REPLACE,TRUE,,https://www.sonnentor.com/at/recipes/36944/image-thumb__36944__thumb-slider/gerollte-schopfsteaks.5419b4bd.jpg,Roláda z krkovičky s dýňovým pyré,recipes,rolada-z-krkovicky-s-dynovym-pyre-thumb.jpg,90,4,,,,,"bouillabaisse-s-bagetkou, lososovy-pstruh-peceny-v-troube, peceny-kapri-filet-v-makovem-obalu, rybi-spiz-s-citronovou-travou-na-listovem-spenatu, filety-ze-sivena-se-zeleninou-a-ruzovymi-poupaty, kavovy-lanyz, knedliky","Recepty, které by vám také mohly chutnat",Další naše produkty k receptu,"[""800|g|(steaků z) vepřové krkovice"",""100|g|sušených švestek"",""5|stroužků|česneku"",""3|lžíce|másla"",""250|ml|světlého piva"",""500|g|brambor"",""500|g|dýně"",""0.5|l|mléka"",""3|lžíce|másla""]","koreni-na-peceni-teticky-anicky-bio-60g, kmin-rimsky-bio-cely-40g",Recept,"Chcete-li, aby pyré mělo hrubší strukturu, stačí uvařené brambory a kousky dýně zlehka rozmačkat a promíchat.",,"[""Maso nakrájejte na 8 plátků (steaků) a rozklepejte zhruba do tvaru obdelníku. Steaky potřete z obou stran Kořením na pečení tetičky Aničky, naplňte je nadrobno nakrájenými sušenými švestkami, srolujte a převažte kuchyňským provázkem nebo propíchněte špejlí na šašlik."",""Na másle lehce osmahněte česnek s kmínem a poté v něm prudce orestujte rolády ze všech stran. Podlijte pivem, přendejte do pekáčku a spolu se šťávou duste 20 minut při 160 °C. Rolády mezitím čas od času přelijte vlastní šťávou a v případě potřeby přidejte trochu teplé vody."",""Na dýňovo-bramborové pyré oloupejte brambory, nakrájejte je na kousky a vařte v osolené vodě přibližně 30 minut doměkka. Dýni oloupejte, nakrájejte na kostičky a vařte ve vodě přibližně 10 minut."",""Brambory prolisujte a rozmíchejte s ¼ l mléka a 2 lžícemi másla na krémové pyré. Dýni nechte okapat (tekutinu můžete v případě potřeby použít na pyré), rozmixujte ji ručním mixérem a smíchejte s bramborami, dochuťte pepřem a Kořením na pečení tetičky Aničky.""]"
